INFO 2026-01-16 19:31:02,105 autoreload 8532 20672 Watching for file changes with StatReloader
INFO 2026-01-16 19:37:07,175 autoreload 17924 13612 Watching for file changes with StatReloader
WARNING 2026-01-16 19:37:09,064 log 17924 4260 "GET /static/css/style.css HTTP/1.1" 404 1853
WARNING 2026-01-16 19:37:09,064 log 17924 17268 "GET /static/img/loggo.png HTTP/1.1" 404 1853
WARNING 2026-01-16 19:37:09,064 log 17924 6808 "GET /static/js/service.js HTTP/1.1" 404 1853
WARNING 2026-01-16 19:37:09,362 log 17924 3984 "GET /static/img/photo_2025-01-24_01-36-25.jpg HTTP/1.1" 404 1913
WARNING 2026-01-16 19:37:09,423 log 17924 19548 "GET /static/manifest.json HTTP/1.1" 404 1853
WARNING 2026-01-16 19:37:09,438 log 17924 7600 Not Found: /favicon.ico
WARNING 2026-01-16 19:37:09,439 log 17924 7600 "GET /favicon.ico HTTP/1.1" 404 2208
INFO 2026-01-16 19:37:10,930 log 17924 7600 "GET / HTTP/1.1" 200 12451
WARNING 2026-01-16 19:37:11,005 log 17924 7600 Not Found: /favicon.ico
WARNING 2026-01-16 19:37:11,006 log 17924 7600 "GET /favicon.ico HTTP/1.1" 404 2208
WARNING 2026-01-16 19:37:11,033 log 17924 7600 Not Found: /sw.js
WARNING 2026-01-16 19:37:11,034 log 17924 7600 "GET /sw.js HTTP/1.1" 404 2190
WARNING 2026-01-16 19:37:41,179 log 17924 7600 Not Found: /sw.js
WARNING 2026-01-16 19:37:41,179 log 17924 7600 "GET /sw.js HTTP/1.1" 404 2190
